loc_rowid,pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,sy_dist,sy_disterr1,sy_disterr2
3309,Kepler-1961 b,Kepler-1961,1,1,2021,5.60471010,,,0,0.058800,,,0,1.619,,,0,3.25000,,,0,1042.4500000,37.4000000,-34.9300000
3310,Kepler-1962 b,Kepler-1962,1,1,2021,7.99145985,,,0,0.078300,,,0,1.215,,,0,1.95000,,,0,866.8260000,19.0030000,-18.2190000
3311,Kepler-1963 b,Kepler-1963,1,1,2021,1.96226001,,,0,0.029800,,,0,0.744,,,0,0.33700,,,0,492.8470000,3.2970000,-3.2550000
3312,Kepler-1964 b,Kepler-1964,1,1,2021,2.44082999,,,0,0.032200,,,0,1.781,,,0,3.83000,,,0,,,
3313,Kepler-1965 b,Kepler-1965,1,1,2021,41.86869812,,,0,0.230100,,,0,1.354,,,0,2.40000,,,0,521.7910000,4.5630000,-4.5630000
3314,Kepler-1966 b,Kepler-1966,1,1,2021,8.61742973,,,0,0.076300,,,0,1.105,,,0,1.39000,,,0,484.6010000,14.3650000,-14.3650000
3315,Kepler-1967 b,Kepler-1967,1,1,2021,7.28169012,,,0,0.073500,,,0,0.730,,,0,0.31500,,,0,249.1020000,0.8740000,-0.8680000
3316,Kepler-1968 b,Kepler-1968,1,1,2021,7.28109980,,,0,0.069600,,,0,1.500,,,0,2.86000,,,0,750.9300000,22.1090000,-20.9000000
3317,Kepler-1969 b,Kepler-1969,1,1,2021,6.64752007,,,0,0.071700,,,0,1.682,,,0,3.47000,,,0,1204.5400000,44.2400000,-41.2700000
3318,Kepler-197 b,Kepler-197,2,4,2014,5.59930800,0.00002300,-0.00002300,0,0.060000,,,0,1.020,0.040,-0.040,0,1.04000,,,0,330.5750000,2.3440000,-2.3120000
